ES0241;959800QKRKCC19MR2G52;"A&G Banca Privada, S.A.";Entidad de crédito;"Paseo de la Castellana, 92, 28046, Madrid";No;;"0241"
ES2080;54930056IRBXK0Q1FP96;"Abanca Corporacion Bancaria, S.A.";Entidad de crédito;"CI Cantón Claudino Pita, 2, 15300, Betanzos";Sí;;"2080"
ES8620;549300ORPMRMXB2JO334;"Abanca Servicios Financieros E.F.C., S.A.";Otra institución;"Cl Rúa Nueva, 30, 15004, A Coruña";No;;"8620"
ES1535;;"AKF Bank GmbH & Co Kg, Sucursal en España";Entidad de crédito;"Av de Europa, 12, 28108, Alcobendas ( Madrid)";No;DE03439;"1535"
ES0011;95980020140005844330;"Allfunds Bank, S.A.";Entidad de crédito;"Cl Padres Dominicos, 7, 28050, Madrid";No;;"0011"
ES1544;95980020140005310927;"Andbank España, S.A.";Entidad de crédito;"Ps de la Castellana, 55, 28046, Madrid";No;;"1544"
ES0136;95980020140005658381;"Aresbank, S.A.";Entidad de crédito;"Ps de la Castellana, 257, 28046, Madrid";No;;"0136"
ES3183;959800AQXRU3780MW094;"Arquia Bank, S.A.";Entidad de crédito;"Cl Barquillo, 6, 28004, Madrid";Sí;;"3183"
ES1541;;"Attijariwafa Bank Europe, Sucursal en España";Entidad de crédito;"Cl Bravo Murillo, 210, 28020, Madrid";No;FR23890;"1541"
ES0061;959800LQ598A5RQASA61;"Banca March, S.A.";Entidad de crédito;"Av de Alejandro Roselló, 8, 07002, Palma de Mallorca (Illes Balears)";Sí;;"0061"
ES1550;;"Banca Popolare Etica Società Cooperativa per Azioni, Sucursal en España";Entidad de crédito;"c/ Santa María, 9, 48005, Bilbao";No;IT0001210299538;"1550"
ES0078;95980020140005487855;"Banca Pueyo, S.A.";Entidad de crédito;"Cl Santa María de Guadalupe, 2, 06700, Villanueva de la Serena (Badajoz)";Sí;;"0078"
ES0188;95980020140005317135;"Banco Alcalá, S.A.";Entidad de crédito;"Cl José Ortega y Gasset, 7, 28006, Madrid";No;;"0188"
ES0182;K8MS7FD7N5Z2WQ51AZ71;"Banco Bilbao Vizcaya Argentaria, S.A.";Entidad de crédito;"Pz de San Nicolás, 4, 48005, Bilbao";Sí;;"0182"
ES0234;95980020140005772841;"Banco Caminos, S.A.";Entidad de crédito;"Cl Almagro, 8, 28010, Madrid";Sí;;"0234"
ES0225;95980020140005879929;"Banco Cetelem, S.A.";Entidad de crédito;"PASEO DE LOS MELANCÓLICOS, 14, 28005, Madrid";Sí;;"0225"
ES0198;549300LYFYVPUCG6SY25;"Banco Cooperativo Español, S.A.";Entidad de crédito;"Cl Virgen de los Peligros, 4, 28013, Madrid";Sí;;"0198"
ES0091;959800MZYB6CKWA9K382;"Banco de Albacete, S.A.";Entidad de crédito;"Av de Cantabria, s/n, 28660, Boadilla del Monte (Madrid)";No;;"0091"
ES0240;95980020140005881190;"Banco de Crédito Social Cooperativo";Entidad de crédito;"Pº Castellana, 87, 28046, Madrid";Sí;;"0240"
ES0003;5493007LK0D8SKLLH161;"Banco de Depósitos, S.A.";Entidad de crédito;"Cl José Ortega y Gasset, 29, 28006, Madrid";No;;"0003"
ES9000;95980020140006022422;"Banco de España";Banco central;"Cl Alcalá, 50, 28014, Madrid";Sí;;"9000"
ES1569;213800L7WX45LP7FYJ46;"Banco de Investimento Global SA, Sucursal en España";Entidad de crédito;"Cl Serrano 61, 28006, MADRID";No;PT61;"1569"
ES0169;;"Banco de la Nación Argentina, Sucursal en España";Entidad de crédito;"Cl Núñez de Balboa, 73, 28001, Madrid";No;AR0ECBM00012;"0169"
