"R2-001;ENDESA ENERGÍA S.A.U.;C/ RIBERA DEL LOIRA, Nº 60;28042;MADRID;Madrid;800 760 909;N;A81948077;;;www.endesaclientes.com;"
"R2-002;IBERDROLA, S.A;C/ CARDENAL GARDOQUI 8;48008;BILBAO;Vizcaya;;;A48010615;;23/10/2012;;Baja"
"R2-004;EDP ENERGÍA, S.A.U.;PLAZA DE LA GESTA, 2;33007;OVIEDO;Asturias;900 907 000;N;A33543547;;;www.edpenergia.es;;"
"R2-005;BASSOLS ENERGIA COMERCIAL, S.L;AVDA. GIRONA, 2;17800;OLOT;Gerona;900 701 169;P, SB, GC, TF, FL, PA, LG, HI;B17653213;;;www.bassolsenergia.com;"
"R2-006;ELECTRA CALDENSE ENERGIA, S.A.;PLAZA DE CATALUÑA, 3, 1º;08140;CALDES DE MONTBUI;Barcelona;900 181 776;N;A62420815;;;www.electracaldense.com;"
"R2-008;ELECTRA DEL CARDENER ENERGIA, S.A.;PASEO DE LAS MORERAS, S/N;25280;SOLSONA;Lérida;900 102 261;P;A25466939;;;www.ecardener.com;"
"R2-009;ELECTRA ENERGIA, S.A.;C/ XIMENEZ, 15;12002;CASTELLÓN;Castellón;900 373 275 900 373 285;P;A12542296;;;www.electraenergia.es;"
"R2-010;ELECTRA NORTE ENERGÍA, S.A.;C/ BELARMINO GARCÍA ROZA, Nº 2 C  BAJO;33510;LA POLA DE SIERO;Asturias;900 830 008;P;A33531690;;;www.electra.es;"
"R2-011;ELÉCTRICA VAQUER ENERGIA, S.A;MACIA BONAPLATA, 1;17500;RIPOLL;Gerona;900 10 33 79;P;A17651829;;;;"
"R2-013;ESTABANELL IMPULSA, S.A.U.;C/ REC, Nº26-28;08400;GRANOLLERS;Barcelona;900 250 260;P;A62422720;;;www.estabanell.com;"
"R2-014;ELECTRICA SEROSENSE, S.L.;CTRA. N-II KM 450 POL. IND. PANAMÁ;25170;TORRES DE SEGRE;Lérida;900 10 29 55;P;B25051947;;;www.serosense.com;"
"R2-018;HIDROELÉCTRICA DEL VALIRA, S.L.;PASEO JOAN BRUDIEU, 17;25700;SEO DE URGEL;Lérida;900 373 884;P;B25365180;;;www.peusa.es;"
"R2-019;COMERCIALIZADORA ELECTRICA DE CADIZ, S.A.U;AVDA. DE MARIA AUXILIADORA, 4;11009;CADIZ;Cádiz;900 373 411;P;A11507357;;;www.electricadecadiz.es;"
"R2-038;COMERCIALIZADORA LERSA, S.L.;SANT PERE, 6;17500;RIPOLL;Gerona;900 373 259;P;B17650995;;;www.lersaenergia.com;"
"R2-041;EOSA ENERGÍA, S.L.;AVDA. VIRGEN GADALUPE, 33-3ª;10001;CACERES;Cáceres;;;B10263945;;18/03/2013;;Baja"
"R2-042;IBERDROLA GENERACION S.A.U;PLAZA EUSKADI Nº5;48009;BILBAO;Vizcaya;;N;A95075586;;;;"
"R2-045;ARCOS DE GRABA, S.L.;C/ NUÑEZ DE BALBOA, 12;28001;MADRID;Madrid;900 103 325;N;B78610532;08/06/2009;02/05/2018;;Baja"
"R2-046;ELECTRICA SOLLERENSE, S.A.;PLAZA DE ESPAÑA, 1;07100;SOLLER;Islas Baleares;900 373 417;P, SB;A57048332;;;www.electricasollerense.es; www.el-gas.es;"
"R2-053;ADURIZ ENERGÍA, SLU;C/ ALGORTA, Nº 10, BAJO;09500;MEDINA DE POMAR;Burgos;900 373 626;P;B09378720;;;www.adurizenergia.es;"
"R2-059;EMPRESA DE ALUMBRADO ELECTRICO DE CEUTA, S.A.;C/ BEATRIZ DE SILVA, 2;51002;CEUTA;Ceuta;900 103 306;N;A11900057;;;www.electricadeceuta.com;"
"R2-060;GASELEC DIVERSIFICACIÓN S.L.;C/ CARLOS V, Nº4;52006;MELILLA;Melilla;800 007 898;N;B52004041;;;www.gaselecdiversificacion.es;"
"R2-078;ELECTRA AVELLANA COMERCIAL, S.L;Manso Avellana s/n;17844;CORNELLA DEL TERRI;Gerona;900 373 503;N;B17659111;;;electraavellana.com;"
"R2-084;ENERCOLUZ ENERGIA SL;AVDA. DE LOS TOROS, 7;40200;CUELLAR;Segovia;900 701 305;P;B40178550;;;www.enercoluz.com;"
"R2-099;E-COGENIA, S.L.;C/ ALFONSO V, Nº 4, 6º;24001;LEÓN;León;;;B24418576;15/11/2002;25/10/2004;;Baja"
"R2-102;LA UNIÓN ELECTRO INDUSTRIAL, S.L.U;C/ SAGRADO CORAZON DE JESUS, 17;03330;CREVILLENT;Alicante;900 103 314;P;B30001770;;;www.enercoop.es;"
"R2-109;FACTOR ENERGÍA, S.A.;AVDA. DIAGONAL, Nº 612, ENTLO. 4º;08021;BARCELONA;Barcelona;900 64 90 28;P, SB, GC, TF, FL, PA, LG, HI;A61893871;;;www.factorenergia.com;"
"R2-115;ALPAPAT SL;DELÁS&PRAT ADVOCATS - C/ PARIS, 205, 4ª PLANTA 1ª;08007;BARCELONA;Barcelona;900 10 17 08;;B65163818;;20/10/2017;;Baja"
"R2-117;ENGIE ESPAÑA, S.L;C/ RIBERA DEL LOIRA, 28;28042;MADRID;Madrid;900 866 301;N;B82508441;;;gdfsuez-globalenergy.com;"
"R2-119;ALPIQ ENERGIA ESPAÑA SAU;C/ PEDRO TEIXEIRA 8, 3º;28020;MADRID;Madrid;900 80 20 76;P, GC, FL, TF, PA, LG, HI;A82405788;21/04/2016;;www.alpiq.com/alpiqgroup/ group-companies/alpiq-energia-espana-sau.jsp;"
"R2-120;UNION FENOSA COMERCIAL, S.L.;AVDA. DE SAN LUIS, 77;28033;MADRID;Madrid;;N;B82207275;;30/05/2013;;Baja"
"R2-124;J.P. MORGAN ENERGY EUROPE ESPAÑA, S.L.U.;C/ VELAZQUEZ Nº 53, 2º Izq;28001;MADRID;Madrid;;;B62139274;;20/08/2014;;Baja"
"R2-132;ELECTRA ALTO MIÑO COMERCIALIZADORA DE ENERGÍA, SLU;POLÍGONO INDUSTRIAL CHAN DA PONTE S/N PARCELA 19;36450;SALVATERRA DE MIÑO;Pontevedra;900 103 244;N;B36878510;;;www.eamsalvaterra.com;"
"R2-140;GAS NATURAL COMERCIALIZADORA SA;AVDA. DE AMERICA, 38-5ª PLANTA;28028;MADRID;Madrid;900 100 264;N;A61797536;;;www.gasnaturalcomercializadora.com;"
"R2-141;GAS NATURAL ELECTRICIDAD SDG, S.A.;AVDA.  DE AMERICA, 38, 1ª PLANTA;28028;BARCELONA;Barcelona;;;A61713301;;05/12/2012;;Baja"
